"Blocking Key Value","Frequency"
"M","1287"
"TK","1276"
"DA","1274"
"CC","1265"
"JT","1250"
"JF","1247"
"KS","1232"
"RA","1230"
"RP","1219"
"SK","1200"
"JS","9855"
"BM","1150"
"MC","8772"
"MN","1148"
"AC","7192"
"JC","6077"
"MP","6048"
"MR","5775"
"SA","5329"
"LB","5324"
"JG","5278"
"SB","5247"
"AA","15618"
"MB","15486"
"MS","15386"
"JM","15134"
"AM","14580"
"AB","14130"
"MA","10989"
"MM","10792"
"JB","10773"
"AS","10560"
"SS","5244"
"SM","5130"
"MD","5088"
"AG","4536"
"JL","4514"
"LS","4324"
"AP","4275"
"LM","4264"
"MG","3916"
"DB","3713"
"AD","3483"
"TB","3420"
"JH","3285"
"DS","3212"
"MK","3182"
"RM","3168"
"DM","3150"
"MT","2948"
"MH","2940"
"MF","2840"
"AR","2808"
"JR","2738"
"FM","2666"
"JA","2640"
"SC","2622"
"TM","2613"
"LC","2574"
"ML","2418"
"NM","2415"
"AF","2408"
"JP","2380"
"LP","2376"
"TS","2343"
"AL","2320"
"DC","2310"
"RB","2257"
"EB","2200"
"JD","2170"
"AK","2142"
"RS","2090"
"GC","1914"
"FA","1890"
"JK","1881"
"SD","1836"
"BB","1813"
"AH","1785"
"TC","1710"
"CM","1682"
"FB","1650"
"LL","1632"
"AT","1624"
"SG","1590"
"FS","1537"
"JW","1536"
"CB","1530"
"TA","1504"
"AO","1500"
"DP","1484"
"LD","1458"
"DL","1431"
"NB","1426"
"PS","1372"
"GM","1368"
"FC","1352"
"GS,NS","1350"
"DR","1326"
"KM","1323"
"DG","1320"
