Dataset;finalThreshold;options;;ML method;Time;Precision;Recall;F1;Group Size Distribution;;Correspondences
EA_TM;0.7;"{""-S""}";SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));SimpleLogistic;90 s;0.9808;0.8947;0.9358;"2	| 	6931
3	| 	28
4	| 	30
5	| 	3
6	| 	2";;
EA_TM;0.9;"{""-S""}";SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));SimpleLogistic;90 s;1.0;0.7193;0.8367;"2	| 	5144
3	| 	4
4	| 	1";;
EA_TM;0.5;"{""-S""}";SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));SimpleLogistic;110s;0.9821;0.9649;0.9735;"2	| 	7477
3	| 	28
4	| 	35
5	| 	4
6	| 	2";;
EA_TM;0.3;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));NaiveBayesMultinomial;120s;0.7857;0.9649;0.8661;;;
EA_TM;0.3;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));Random Forest;128s;1.0;0.9649;0.9821;"2	| 	7562
 3	| 	5
 4	| 	1";;
EA_TM;0.7;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));RandomForest;120s ;1.0;0.9474;0.9730;"2	| 	7443
 3	| 	4
 4	| 	1";;
EA_TM;0.9;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));RandomForest;110s;1.0;0.9123;0.9541;"2	| 	6977
 3	| 	3";;
EA_TM;0.7;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));RandomTree;105s;1.0;0.9649;0.9821;"2	| 	7457
 3	| 	5
 4	| 	1";;
EA_TM;0.9;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));RandomTree;93s;1.0;0.9649;0.9821;"2	| 	7457
 3	| 	5
 4	| 	1";;
EA_TM;0.99;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));RandomTree;97s;1.0;0.9649;0.9821;"2	| 	7457
 3	| 	5
 4	| 	1";;
EA_TM;0.01;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));RandomTree;93s;1.0;0.9649;0.9821;"2	| 	7459
 3	| 	5
 4	| 	1";;
EA_TM;0.01;-;SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 110));Random Forest;109s;0.8088;0.9649;0.88;"2	| 	2165
 3	| 	393
 4	| 	397
…
5222 | 1";4226 groups!!;
EA_FM;0.9;"{""-S""}";StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));SimpleLogistic;49s;1.0;0.9275;0.9624;"2	| 	6540
3	| 	46
4	| 	24
5	| 	2
6	| 	2
8	| 	1";;
EA_FM;0.7;"{""-S""}";StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));SimpleLogistic;53s;1.0;0.9275;0.9624;"2	| 	6540
3	| 	46
4	| 	24
5	| 	2
6	| 	2
8	| 	1";;
EA_FM;0.5;"{""-S""}";StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));SimpleLogistic;49s;1.0;0.9275;0.9624;"2	| 	6541
3	| 	64
4	| 	29
5	| 	5
6	| 	2
8	| 	1";;
EA_FM;0.5;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));NaiveBayesMultinomial;52s;0.8723;0.5942;0.7069;;4455 groups;
EA_FM;0.3;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));Random Forest;104s ;1.0;0.9275;0.9624;"2	| 	6420
3	| 	144
4	| 	73
5	| 	12
6	| 	4
7	| 	2
9	| 	1";;
EA_FM;0.9;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomForest;56s;1.0;0.8841;0.9385;"2	| 	6417
 3	| 	5";;
EA_FM;0.7;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomForest;57s;1.0;0.9275;0.9624;"2	| 	6535
 3	| 	9
4	| 	8
5	| 	1
6	| 	1";;
EA_FM;0.7;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomTree;41s;1.0;0.9275;0.9624;"2	| 	5985
3	| 	324
4	| 	187
5	| 	53
6	| 	24
7	| 	16
8	| 	5
9	| 	3
10	| 	2
11	| 	1
12	| 	1";;
EA_FM;0.9;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomTree;51s;1.0;0.9275;0.9624;"2	| 	6549
3	| 	53
4	| 	26
5	| 	2
6	| 	1
8	| 	1

";;
FM_TM;0.9;"{""-S""}";SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 100));SimpleLogistic;216s;1.0;0.7647;0.8667;"2	| 	6398
3	| 	6
4	| 	3";;
FM_TM;0.7;"{""-S""}";SortedNeighbourhoodBlocker(PlayerBlockingKeyByNameGenerator(1), 100));SimpleLogistic;206s;1.0;0.7745;0.8729;"2	| 	6410
3	| 	10
4	| 	4";;
FM_TM;0.7;"{""-S""}";StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));SimpleLogistic;75s;1.0;0.7549;0.8603;"2	| 	6399
3	| 	10
4	| 	3";;
FM_TM;0.5;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));NaiveBayesMultinomial;72s;0.9706;0.6471;0.7765;"2	| 	5628
3	| 	199
4	| 	99
5	| 	9
6	| 	8
7	| 	1
8	| 	2";;6461
FM_TM;0.3;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));Random Forest;72s;0.9873;0.7647;0.8619;"2	| 	6404
3	| 	13
4	| 	4
6	| 	1";;
FM_TM;0.9;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomForest;67s;1.0;0.7451;0.8539;"2	| 	6386
3	| 	7
4	| 	3";;
FM_TM;0.7;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomForest;71s;1.0;0.7549;0.8603;"2	| 	6399
3	| 	8
4	| 	3";;
FM_TM;0.7;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomTree;151s;0.9873;0.7647;0.8619;" 		2	| 	6105
 		3	| 	150
	4	| 	100
		5	| 	19
 		6	| 	11
 		7	| 	4
 		8	| 	1
 		9	| 	1
 		10	| 	2
		15	| 	1
 		16	| 	1";;6920
FM_TM;0.9;-;StandardRecordBlocker(new PlayerBlockingKeyByNameGenerator(1));RandomTree;69s;0.9873;0.7647;0.8619;" 		2	| 	6105
 		3	| 	150
	4	| 	100
		5	| 	19
 		6	| 	11
 		7	| 	4
 		8	| 	1
 		9	| 	1
 		10	| 	2
		15	| 	1
 		16	| 	1";;6920
